ncv_id	ncv_location	ncv_sample_id	target_gene_name	target_gene_id	target_promoter_location	chiapet_factor	chiapet_petcount
HS_chr10_100121267_100121323	chr10:100120767..100121823,.	TCGA-A8-A094	PYROXD2	60673	chr10:100174391..100175392,-	POLR2A-human	17
HS_chr10_101080526_101080579	chr10:101080026..101081079,.	TCGA-A8-A08S	CNNM1_ENST00000356713	94491	chr10:101088644..101089645,+	POLR2A-human	3
HS_chr10_101080526_101080579	chr10:101080026..101081079,.	TCGA-A8-A08S	CNNM1	82461	chr10:101089739..101090740,+	POLR2A-human	5
HS_chr10_101118647_101118710	chr10:101118147..101119210,.	TCGA-A2-A04T	CNNM1_ENST00000356713	94491	chr10:101088644..101089645,+	POLR2A-human	2
HS_chr10_101126589_101126612	chr10:101126089..101127112,.	TCGA-A2-A04P	CNNM1_ENST00000356713	94491	chr10:101088644..101089645,+	POLR2A-human	2
HS_chr10_101118647_101118710	chr10:101118147..101119210,.	TCGA-A2-A04T	CNNM1	82461	chr10:101089739..101090740,+	POLR2A-human	2
HS_chr10_101126589_101126612	chr10:101126089..101127112,.	TCGA-A2-A04P	CNNM1	82461	chr10:101089739..101090740,+	POLR2A-human	2
HS_chr10_101485448_101485533	chr10:101484948..101486033,.	TCGA-A2-A04P	COX15	3547	chr10:101491305..101492306,-	POLR2A-human	5
HS_chr10_101485448_101485533	chr10:101484948..101486033,.	TCGA-A2-A04P	CUTC	60679	chr10:101491605..101492606,+	POLR2A-human	5
HS_chr10_102239711_102239765	chr10:102239211..102240265,.	TCGA-B6-A0RE	NDUFB8	60690	chr10:102289107..102290108,-	POLR2A-human	2
HS_chr10_102239711_102239765	chr10:102239211..102240265,.	TCGA-B6-A0RE	NDUFB8_ENST00000531258	107141	chr10:102289107..102290108,-	POLR2A-human	2
HS_chr10_102777572_102777654	chr10:102777072..102778154,.	TCGA-A8-A094	SFXN3	60698	chr10:102791730..102792731,+	POLR2A-human	2
HS_chr10_103057230_103057317	chr10:103056730..103057817,.	TCGA-A8-A08L	FBXW4	6085	chr10:103453896..103454897,-	POLR2A-human	2
HS_chr10_1063812_1063833	chr10:1063312..1064333,.	TCGA-GM-A2DF	GTPBP4	67118	chr10:1033919..1034920,+	POLR2A-human	2
HS_chr10_103813912_103813942	chr10:103813412..103814442,.	TCGA-A2-A0CM	FBXW4	6085	chr10:103453896..103454897,-	POLR2A-human	2
HS_chr10_103813912_103813942	chr10:103813412..103814442,.	TCGA-A2-A0CM	MGEA5	60706	chr10:103577278..103578279,-	POLR2A-human	2
HS_chr10_103813912_103813942	chr10:103813412..103814442,.	TCGA-A2-A0CM	MGEA5_ENST00000370094	101919	chr10:103577278..103578279,-	POLR2A-human	2
HS_chr10_103813912_103813942	chr10:103813412..103814442,.	TCGA-A2-A0CM	MGEA5_ENST00000419011	101625	chr10:103577278..103578279,-	POLR2A-human	2
HS_chr10_103813912_103813942	chr10:103813412..103814442,.	TCGA-A2-A0CM	HPS6	60708	chr10:103824731..103825732,+	POLR2A-human	20
HS_chr10_104002753_104002826	chr10:104002253..104003326,.	TCGA-B6-A0RE	PITX3	5234	chr10:103991336..103992337,-	POLR2A-human	2
HS_chr10_105042574_105042577	chr10:105042074..105043077,.	TCGA-BH-A18U	INA	60726	chr10:105036468..105037469,+	POLR2A-human	2
HS_chr10_105133359_105133422	chr10:105132859..105133922,.	TCGA-A1-A0SM	TAF5	60728	chr10:105127246..105128247,+	POLR2A-human	7
HS_chr10_1085935_1085945	chr10:1085435..1086445,.	TCGA-AR-A0TX	IDI1_ENST00000427898	102845	chr10:1093757..1094758,-	POLR2A-human	6
HS_chr10_1085935_1085945	chr10:1085435..1086445,.	TCGA-AR-A0TX	IDI1	60335	chr10:1094442..1095443,-	POLR2A-human	6
HS_chr10_11635396_11635486	chr10:11634896..11635986,.	TCGA-C8-A12Q	ENSG00000181437	84654	chr10:11652830..11653831,+	POLR2A-human	4
HS_chr10_11635396_11635486	chr10:11634896..11635986,.	TCGA-C8-A12Q	LOC439951	5166	chr10:11652830..11653831,+	POLR2A-human	4
HS_chr10_117838961_117838998	chr10:117838461..117839498,.	TCGA-A2-A04X	GFRA1	60767	chr10:118031040..118032041,-	POLR2A-human	14
HS_chr10_117838961_117838998	chr10:117838461..117839498,.	TCGA-A2-A04X	GFRA1_ENST00000439649	99896	chr10:118031040..118032041,-	POLR2A-human	14
HS_chr10_117897053_117897090	chr10:117896553..117897590,.	TCGA-AR-A0TX	GFRA1	60767	chr10:118031040..118032041,-	POLR2A-human	21
HS_chr10_117897053_117897090	chr10:117896553..117897590,.	TCGA-AR-A0TX	GFRA1_ENST00000439649	99896	chr10:118031040..118032041,-	POLR2A-human	21
HS_chr10_12085042_12085111	chr10:12084542..12085611,.	TCGA-BH-A0E0	UPF2	60363	chr10:12076921..12077922,-	POLR2A-human	4
