ncv_id	ncv_location	ncv_sample_id	target_gene_name	target_gene_id	target_promoter_location	chiapet_factor	chiapet_petcount
COSN4691764	chr10:117902590..117903591,.	PD4006a	GFRA1	60767	chr10:118031040..118032041,-	ESR1-human	4
COSN4691764	chr10:117902590..117903591,.	PD4006a	GFRA1_ENST00000439649	99896	chr10:118031040..118032041,-	ESR1-human	4
COSN4694866	chr10:70973002..70974003,.	PD3945a	HK1_ENST00000359426	99902	chr10:71078203..71079204,+	ESR1-human	4
COSN4695955	chr10:99340344..99341345,.	PD4248a	ANKRD2	60666	chr10:99331964..99332965,+	ESR1-human	32
COSN4698986	chr11:64181518..64182519,.	PD3945a	RPS6KA4	422	chr11:64126207..64127208,+	ESR1-human	2
COSN4698986	chr11:64181518..64182519,.	PD3945a	RPS6KA4_ENST00000334205	91316	chr11:64126207..64127208,+	ESR1-human	2
COSN4710269	chr1:184341106..184342107,.	PD4116a	LAMC1	7074	chr1:182992351..182993352,+	ESR1-human	2
COSN4710270	chr1:184342220..184343221,.	PD3945a	LAMC1	7074	chr1:182992351..182993352,+	ESR1-human	2
COSN5165559	chr1:201464095..201465096,.	PD4107a	UBE2T	55573	chr1:202304381..202305382,-	ESR1-human	4
COSN4701101	chr12:123547012..123548013,.	PD3851a	PITPNM2	3374	chr12:123518636..123519637,-	ESR1-human	5
COSN4701101	chr12:123547012..123548013,.	PD3851a	PITPNM2_ENST00000280562	103311	chr12:123518636..123519637,-	ESR1-human	5
COSN4703445	chr12:65018235..65019236,.	PD4005a	RASSF3	2690	chr12:65003912..65004913,+	ESR1-human	9
COSN4704295	chr12:834261..835262,.	PD4085a	NINJ2	61552	chr12:772163..773164,-	ESR1-human	3
COSN4705343	chr13:113668345..113669346,.	PD4115a	MCF2L_ENST00000375604	95291	chr13:113622278..113623279,+	ESR1-human	12
COSN4705343	chr13:113668345..113669346,.	PD4115a	MCF2L_ENST00000434480	102575	chr13:113639196..113640197,+	ESR1-human	4
COSN8313941	chr14:50459292..50460293,.	TCGA-A8-A095	NEMF	62558	chr14:50318970..50319971,-	ESR1-human	2
COSN5168778	chr1:51794771..51795772,.	PD3904a	C1orf34	78265	chr1:51786956..51787957,-	ESR1-human	8
COSN5168778	chr1:51794771..51795772,.	PD3904a	TTC39A	77285	chr1:51787332..51788333,-	ESR1-human	8
COSN5182686	chr18:60822097..60823098,.	PD4103a	BCL2	1475	chr18:60985398..60986399,-	ESR1-human	2
COSN5182686	chr18:60822097..60823098,.	PD4103a	BCL2_ENST00000398117	93971	chr18:60985398..60986399,-	ESR1-human	2
COSN5182686	chr18:60822097..60823098,.	PD4103a	BCL2_ENST00000444484	99732	chr18:60985398..60986399,-	ESR1-human	2
COSN5183696	chr19:16086614..16087615,.	PD3890a	CYP4F11	64785	chr19:16044717..16045718,-	ESR1-human	24
COSN5183783	chr19:19173159..19174160,.	PD4107a	UPF1	64832	chr19:18942518..18943519,+	ESR1-human	4
COSN5183783	chr19:19173159..19174160,.	PD4107a	UPF1_ENST00000599848	105337	chr19:18942518..18943519,+	ESR1-human	4
COSN5184554	chr19:41426707..41427708,.	PD4005a	BLVRB	68353	chr19:40971094..40972095,-	ESR1-human	2
COSN5184554	chr19:41426707..41427708,.	PD4005a	Q6ZSU1_HUMAN	78728	chr19:41403613..41404614,+	ESR1-human	6
COSN5136367	chr21:41695802..41696803,.	PD4115a	TFF1	65859	chr21:43786103..43787104,-	ESR1-human	2
COSN5136425	chr21:43786567..43787568,.	PD4194a	TFF2	65858	chr21:43770565..43771566,-	ESR1-human	9
COSN4927815	chr6:42043364..42044365,.	PD4006a	AL512274_9	77254	chr6:42109681..42110682,-	ESR1-human	2
COSN4927815	chr6:42043364..42044365,.	PD4006a	C6orf132	95516	chr6:42109681..42110682,-	ESR1-human	2
COSN4927815	chr6:42043364..42044365,.	PD4006a	C6orf132_ENST00000341865	95517	chr6:42109681..42110682,-	ESR1-human	2
COSN4932186	chr7:151554120..151555121,.	PD4115a	PRKAG2	4132	chr7:151573204..151574205,-	ESR1-human	17
COSN4938958	chr8:142273113..142274114,.	PD4109a	SLC45A4	69499	chr8:142237864..142238865,-	ESR1-human	2
COSN4944186	chr9:130788568..130789569,.	PD4109a	NAIF1	60194	chr9:130828879..130829880,-	ESR1-human	2
