chr10:8097118..8098119,+	GATA3	13	TCGA-A2-A04P,TCGA-A2-A0EY,TCGA-A7-A0CE,TCGA-A8-A08L,TCGA-A8-A09I,TCGA-AN-A0AT,TCGA-AO-A0J6,TCGA-AO-A0JM,TCGA-AR-A0TX,TCGA-B6-A0RE	HS_chr10_7567633_7567739,HS_chr10_8207343_8207372,HS_chr10_8504509_8504655,HS_chr10_8649995_8650033,HS_chr10_8754476_8754567,HS_chr10_8766119_8766169,HS_chr10_8826843_8826910,HS_chr10_8881550_8881581,HS_chr10_8902120_8902211,HS_chr10_8913424_8913469,HS_chr10_9131562_9131617,HS_chr10_9226124_9226184,HS_chr10_9256989_9257051
chr20:56284137..56285138,-	PMEPA1	12	TCGA-A2-A0EY,TCGA-A8-A08L,TCGA-AN-A0AT,TCGA-AR-A0TX,TCGA-C8-A12L,TCGA-C8-A130,TCGA-E2-A14P	HS_chr20_56346986_56347037,HS_chr20_56442058_56442127,HS_chr20_56493566_56493660,HS_chr20_56495278_56495410,HS_chr20_56527495_56527576,HS_chr20_56558069_56558121,HS_chr20_56564078_56564092,HS_chr20_56574234_56574290,HS_chr20_56591980_56592000,HS_chr20_56633346_56633481,HS_chr20_56643902_56643964,HS_chr20_56672524_56672553
chr8:128748339..128749340,+	MYC_ENST00000377970	12	TCGA-A8-A08B,TCGA-A8-A08L,TCGA-A8-A094,TCGA-AN-A0AT,TCGA-AO-A0J2,TCGA-B6-A0I6,TCGA-B6-A0RT,TCGA-BH-A18U,TCGA-E2-A152	HS_chr8_127711780_127711813,HS_chr8_128819677_128819740,HS_chr8_128890489_128890505,HS_chr8_128918622_128918692,HS_chr8_129148922_129149028,HS_chr8_129190316_129190373,HS_chr8_129269985_129270018,HS_chr8_129345351_129345376,HS_chr8_129640189_129640236,HS_chr8_129656842_129656883,HS_chr8_129659016_129659079,HS_chr8_129668546_129668615
chr11:69455581..69456582,+	CCND1,CCND1_ENST00000227507	11	TCGA-A1-A0SM,TCGA-A7-A0CE,TCGA-A8-A09I,TCGA-AN-A0G0,TCGA-AO-A0J6,TCGA-AR-A0TX,TCGA-B6-A0I2,TCGA-BH-A0B3,TCGA-C8-A12L,TCGA-C8-A12Q	HS_chr11_68880943_68880957,HS_chr11_68984198_68984222,HS_chr11_69052448_69052529,HS_chr11_69058249_69058285,HS_chr11_69088764_69088824,HS_chr11_69268918_69268968,HS_chr11_69333905_69334052,HS_chr11_69364375_69364463,HS_chr11_69390524_69390583,HS_chr11_69428617_69428655,HS_chr11_69428850_69428916
chr6:27114076..27115077,-	HIST1H2BK,HIST1H2BK_ENST00000396891	11	TCGA-A2-A04X,TCGA-A2-A0CM,TCGA-A2-A0D1,TCGA-A2-A0T1,TCGA-B6-A0RE,TCGA-A2-A0D2,TCGA-A2-A0EY,TCGA-A8-A07I,TCGA-A8-A08B,TCGA-AR-A0TX,TCGA-B6-A0IJ,TCGA-E2-A152	HS_chr6_26055740_26056013,HS_chr6_26123563_26123646,HS_chr6_26181810_26181883,HS_chr6_26250596_26250644,HS_chr6_26537793_26537842,HS_chr6_26553715_26553795,HS_chr6_27145017_27145075,HS_chr6_27656095_27656144,HS_chr6_27778408_27778508,HS_chr6_27834827_27834880,HS_chr6_27859000_27859029
chr8:128750008..128751009,+	MYC	11	TCGA-A8-A08B,TCGA-A8-A08L,TCGA-A8-A094,TCGA-AN-A0AT,TCGA-AO-A0J2,TCGA-B6-A0I6,TCGA-B6-A0RT,TCGA-BH-A18U,TCGA-E2-A152	HS_chr8_128819677_128819740,HS_chr8_128890489_128890505,HS_chr8_128918622_128918692,HS_chr8_129148922_129149028,HS_chr8_129190316_129190373,HS_chr8_129269985_129270018,HS_chr8_129640189_129640236,HS_chr8_129656842_129656883,HS_chr8_129659016_129659079,HS_chr8_129668546_129668615,HS_chr8_130694425_130694492
chr6:27114407..27115408,+	HIST1H2AH	10	TCGA-A2-A04X,TCGA-A2-A0CM,TCGA-A2-A0D1,TCGA-A2-A0T1,TCGA-B6-A0RE,TCGA-A2-A0D2,TCGA-A2-A0EY,TCGA-A8-A07I,TCGA-A8-A08B,TCGA-AR-A0TX,TCGA-E2-A152	HS_chr6_26055740_26056013,HS_chr6_26123563_26123646,HS_chr6_26181810_26181883,HS_chr6_26250596_26250644,HS_chr6_26537793_26537842,HS_chr6_27145017_27145075,HS_chr6_27656095_27656144,HS_chr6_27778408_27778508,HS_chr6_27834827_27834880,HS_chr6_27859000_27859029
chr6:28890908..28891909,-	TRIM27	9	TCGA-A2-A0CM,TCGA-A2-A0D1,TCGA-A2-A0T1,TCGA-B6-A0RE,TCGA-A2-A0EY,TCGA-A2-A0EY,TCGA-B6-A0RE,TCGA-A8-A07B,TCGA-A8-A07I,TCGA-AN-A0AT,TCGA-AO-A0J6,TCGA-B6-A0IQ,TCGA-E2-A152	HS_chr6_26055740_26056013,HS_chr6_27778408_27778508,HS_chr6_27834827_27834880,HS_chr6_27859000_27859029,HS_chr6_28849181_28849264,HS_chr6_28905139_28905215,HS_chr6_28909339_28909438,HS_chr6_28949966_28950202,HS_chr6_28982448_28982508
chr10:8092703..8093704,-	FLJ45983	8	TCGA-A7-A0CE,TCGA-A8-A08L,TCGA-A8-A09I,TCGA-AO-A03N,TCGA-AO-A0J6,TCGA-AO-A0JM,TCGA-AR-A0TX,TCGA-B6-A0RE	HS_chr10_7567633_7567739,HS_chr10_8504509_8504655,HS_chr10_8766119_8766169,HS_chr10_8902120_8902211,HS_chr10_8913424_8913469,HS_chr10_8989872_8989875,HS_chr10_9226124_9226184,HS_chr10_9256989_9257051
chr1:210546619..210547620,-	ENSG00000162767	7	TCGA-A2-A0EY,TCGA-A8-A09I,TCGA-AO-A03N,TCGA-AO-A0J6,TCGA-AR-A0TX	HS_chr1_209977776_209977858,HS_chr1_209979826_209979895,HS_chr1_210436548_210436572,HS_chr1_210535137_210535220,HS_chr1_210606346_210606462,HS_chr1_211025047_211025105,HS_chr1_211312255_211312328
