chr11:62608708..62609847,.	HS_chr11_62609208_62609347	35	B3GAT3,BSCL2,BSCL2_ENST00000433053,C11orf48,C11orf83,CHRM1,EEF1G,EEF1G_ENST00000378019,EML3,EML3_ENST00000529309,ENSG00000269089,FADS1,FADS1_ENST00000350997,FADS2_ENST00000257261,FERMT3,URP2,FKBP2,FTH1,GANAB,GANAB_ENST00000346178,GNG3,HNRNPUL2,INTS5,LRRC10B,METTL12,MTA2,NAA40,PPP1R14B,ROM1,SLC3A2,TAF6L,TTC9C,TTC9C_ENST00000513247,TUT1,TUT1_ENST00000308436,UBXN1,UBXN1_ENST00000301935,ZBTB3,ZNHIT2	TCGA-AO-A0J6,TCGA-BH-A1FN,TCGA-C8-A12Q,TCGA-D8-A1J9,TCGA-E9-A1N3	chr11:61275970..61276971,+,chr11:61583257..61584258,+,chr11:61583729..61584730,-,chr11:61583900..61584901,-,chr11:61734396..61735397,-,chr11:61735075..61736076,+,chr11:62340813..62341814,-,chr11:62341809..62342810,-,chr11:62358456..62359457,-,chr11:62358570..62359571,-,chr11:62368421..62369422,-,chr11:62379428..62380429,-,chr11:62380253..62381254,+,chr11:62388918..62389919,-,chr11:62413570..62414571,-,chr11:62420220..62421221,-,chr11:62432851..62433852,+,chr11:62437002..62438003,-,chr11:62438717..62439718,+,chr11:62445894..62446895,-,chr11:62472483..62473484,-,chr11:62474166..62475167,-,chr11:62475267..62476268,+,chr11:62494127..62495128,-,chr11:62495335..62496336,+,chr11:62495820..62496821,+,chr11:62521033..62522034,-,chr11:62542755..62543756,+,chr11:62623241..62624242,+,chr11:62678071..62679072,-,chr11:63706068..63707069,+,chr11:63974336..63975337,+,chr11:64009359..64010360,+,chr11:64014843..64015844,-,chr11:64884624..64885625,-	35
chr11:62608080..62609128,.	HS_chr11_62608580_62608628	34	B3GAT3,BSCL2,BSCL2_ENST00000433053,C11orf48,C11orf83,CHRM1,EEF1G,EEF1G_ENST00000378019,EML3,EML3_ENST00000529309,ENSG00000269089,FADS1,FADS1_ENST00000350997,FADS2_ENST00000257261,FERMT3,URP2,FKBP2,FTH1,GANAB,GANAB_ENST00000346178,GNG3,HNRNPUL2,INTS5,METTL12,MTA2,NAA40,PPP1R14B,ROM1,STIP1,TAF6L,TTC9C,TTC9C_ENST00000513247,TUT1,TUT1_ENST00000308436,UBXN1,UBXN1_ENST00000301935,ZBTB3,ZNHIT2	TCGA-A8-A07B	chr11:61583257..61584258,+,chr11:61583729..61584730,-,chr11:61583900..61584901,-,chr11:61734396..61735397,-,chr11:61735075..61736076,+,chr11:62340813..62341814,-,chr11:62341809..62342810,-,chr11:62358456..62359457,-,chr11:62358570..62359571,-,chr11:62368421..62369422,-,chr11:62379428..62380429,-,chr11:62380253..62381254,+,chr11:62388918..62389919,-,chr11:62413570..62414571,-,chr11:62420220..62421221,-,chr11:62432851..62433852,+,chr11:62437002..62438003,-,chr11:62438717..62439718,+,chr11:62445894..62446895,-,chr11:62472483..62473484,-,chr11:62474166..62475167,-,chr11:62475267..62476268,+,chr11:62494127..62495128,-,chr11:62495335..62496336,+,chr11:62495820..62496821,+,chr11:62521033..62522034,-,chr11:62542755..62543756,+,chr11:62678071..62679072,-,chr11:63706068..63707069,+,chr11:63953233..63954234,+,chr11:63974336..63975337,+,chr11:64009359..64010360,+,chr11:64014843..64015844,-,chr11:64884624..64885625,-	34
chr6:26055240..26056513,.	HS_chr6_26055740_26056013	31	ABT1,HFE,HFE_ENST00000470149,HIST1H1B,HIST1H1D,HIST1H1E,HIST1H1T,HIST1H2AC,HIST1H2AD,HIST1H2AH,HIST1H2AI,HIST1H2AK,HIST1H2AL,HIST1H2AM,HIST1H2BC,HIST1H2BD,HIST1H2BE,HIST1H2BF,HIST1H2BK,HIST1H2BK_ENST00000396891,HIST1H2BL,HIST1H2BN,HIST1H2BO,HIST1H2BO_ENST00000303806,HIST1H3D,HIST1H3E,HIST1H3H,HIST1H3I,HIST1H4C,HIST1H4D,HIST1H4H,HIST1H4K,HIST1H4L,TRIM27	TCGA-A2-A0CM,TCGA-A2-A0D1,TCGA-A2-A0T1,TCGA-B6-A0RE	chr6:26087168..26088169,+,chr6:26103675..26104676,+,chr6:26107820..26108821,-,chr6:26123631..26124632,-,chr6:26123960..26124961,+,chr6:26156118..26157119,+,chr6:26157897..26158898,+,chr6:26183523..26184524,+,chr6:26188803..26189804,-,chr6:26196977..26197978,-,chr6:26198970..26199971,-,chr6:26199286..26200287,+,chr6:26224882..26225883,+,chr6:26234660..26235661,-,chr6:26285226..26286227,-,chr6:26596710..26597711,+,chr6:27114076..27115077,-,chr6:27114407..27115408,+,chr6:27775183..27776184,-,chr6:27775487..27776488,+,chr6:27777351..27778352,+,chr6:27798804..27799805,-,chr6:27805616..27806617,-,chr6:27805939..27806940,+,chr6:27832632..27833633,+,chr6:27834806..27835807,-,chr6:27839592..27840593,-,chr6:27840787..27841788,-,chr6:27860426..27861427,-,chr6:27860740..27861741,+,chr6:28890908..28891909,-	31
chr17:56736178..56737283,.	HS_chr17_56736678_56736783	30	APPBP2,BCAS3,BCAS3_ENST00000589222,C17orf47,C17orf82,C17orf82_ENST00000335108,CACNG4,CLTC,CLTC_ENST00000269122,FAM33A,GDPD1,GDPD1_ENST00000581140,GDPD1_ENST00000581276,HEATR6,METTL2A_ENST00000311506,MTMR4,POLG2,PPM1D,PPM1E,Q6GMT2_HUMAN,RAD51C,RAD51C_ENST00000337432,RNFT1,RNFT1_ENST00000305783,RPS6KB1,SEPT4,SEPT4_ENST00000393086,SEPT4_ENST00000412945,SEPT4_ENST00000426861,SKA2,SKA2_ENST00000437036,SKA2_ENST00000330137,SMG8,TBX2,TRIM37,TUBD1,USP32	TCGA-B6-A0IJ	chr17:56593442..56594443,-,chr17:56604004..56605005,-,chr17:56606034..56607035,-,chr17:56608823..56609824,-,chr17:56617561..56618562,-,chr17:56621046..56622047,-,chr17:56769504..56770505,+,chr17:56832858..56833859,+,chr17:57183321..57184322,-,chr17:57231943..57232944,-,chr17:57231993..57232994,-,chr17:57232023..57233024,-,chr17:57286912..57287913,+,chr17:57297470..57298471,+,chr17:57696992..57697993,+,chr17:57967862..57968863,-,chr17:57970045..57971046,+,chr17:58040089..58041090,-,chr17:58041523..58042524,-,chr17:58155774..58156775,-,chr17:58468799..58469800,-,chr17:58602791..58603792,-,chr17:58677275..58678276,+,chr17:58756318..58757319,+,chr17:59477037..59478038,+,chr17:59488836..59489837,+,chr17:60500763..60501764,+,chr17:62492585..62493586,-,chr17:62969134..62970135,-,chr17:64960527..64961528,+	30
chr6:27777908..27779008,.	HS_chr6_27778408_27778508	27	ENSG00000158403,HIST1H1C,HIST1H2AB,HIST1H2AC,HIST1H2AD,HIST1H2AE,HIST1H2AG,HIST1H2AH,HIST1H2BC,HIST1H2BD,HIST1H2BE,HIST1H2BF,HIST1H2BG,HIST1H2BI,HIST1H2BJ,HIST1H2BK,HIST1H2BK_ENST00000396891,HIST1H3A,HIST1H3B,HIST1H3D,HIST1H3G,HIST1H4A,HIST1H4B,HIST1H4E,HIST1H4F,HIST1H4G,HIST1H4H,TRIM27	TCGA-A8-A07I	chr6:26020217..26021218,+,chr6:26021406..26022407,+,chr6:26026979..26027980,-,chr6:26031787..26032788,-,chr6:26033295..26034296,-,chr6:26056155..26057156,-,chr6:26123631..26124632,-,chr6:26123960..26124961,+,chr6:26157897..26158898,+,chr6:26183523..26184524,+,chr6:26196977..26197978,-,chr6:26198970..26199971,-,chr6:26199286..26200287,+,chr6:26204372..26205373,+,chr6:26216370..26217371,-,chr6:26216702..26217703,+,chr6:26240153..26241154,+,chr6:26246704..26247705,-,chr6:26271111..26272112,-,chr6:26272267..26273268,-,chr6:26272703..26273704,+,chr6:26285226..26286227,-,chr6:27100028..27101029,-,chr6:27100350..27101351,+,chr6:27114076..27115077,-,chr6:27114407..27115408,+,chr6:28890908..28891909,-	27
chr6:26123063..26124146,.	HS_chr6_26123563_26123646	26	ABT1,HIST1H1A,HIST1H1B,HIST1H1C,HIST1H2AB,HIST1H2AG,HIST1H2AH,HIST1H2AI,HIST1H2AJ,HIST1H2AM,HIST1H2BB,HIST1H2BJ,HIST1H2BK,HIST1H2BK_ENST00000396891,HIST1H2BL,HIST1H2BM,HIST1H2BO,HIST1H2BO_ENST00000303806,HIST1H3A,HIST1H3B,HIST1H3C,HIST1H3H,HIST1H3I,HIST1H3J,HIST1H4A,HIST1H4B,HIST1H4K,HIST1H4L	TCGA-A2-A0EY	chr6:26017459..26018460,-,chr6:26020217..26021218,+,chr6:26021406..26022407,+,chr6:26026979..26027980,-,chr6:26031787..26032788,-,chr6:26033295..26034296,-,chr6:26043384..26044385,-,chr6:26045138..26046139,+,chr6:26056155..26057156,-,chr6:26596710..26597711,+,chr6:27100028..27101029,-,chr6:27100350..27101351,+,chr6:27114076..27115077,-,chr6:27114407..27115408,+,chr6:27775183..27776184,-,chr6:27775487..27776488,+,chr6:27777351..27778352,+,chr6:27782017..27783018,-,chr6:27782321..27783322,+,chr6:27798804..27799805,-,chr6:27834806..27835807,-,chr6:27839592..27840593,-,chr6:27840787..27841788,-,chr6:27858069..27859070,-,chr6:27860426..27861427,-,chr6:27860740..27861741,+	26
chr6:27858500..27859529,.	HS_chr6_27859000_27859029	25	ENSG00000158403,HIST1H1E,HIST1H2AB,HIST1H2AC,HIST1H2AD,HIST1H2AE,HIST1H2AG,HIST1H2AH,HIST1H2BC,HIST1H2BD,HIST1H2BF,HIST1H2BG,HIST1H2BI,HIST1H2BJ,HIST1H2BK,HIST1H2BK_ENST00000396891,HIST1H3A,HIST1H3B,HIST1H3D,HIST1H3G,HIST1H4A,HIST1H4B,HIST1H4C,HIST1H4E,TRIM27,ZSCAN16	TCGA-E2-A152	chr6:26020217..26021218,+,chr6:26021406..26022407,+,chr6:26026979..26027980,-,chr6:26031787..26032788,-,chr6:26033295..26034296,-,chr6:26103675..26104676,+,chr6:26123631..26124632,-,chr6:26123960..26124961,+,chr6:26156118..26157119,+,chr6:26157897..26158898,+,chr6:26196977..26197978,-,chr6:26198970..26199971,-,chr6:26199286..26200287,+,chr6:26204372..26205373,+,chr6:26216370..26217371,-,chr6:26216702..26217703,+,chr6:26271111..26272112,-,chr6:26272267..26273268,-,chr6:26272703..26273704,+,chr6:27100028..27101029,-,chr6:27100350..27101351,+,chr6:27114076..27115077,-,chr6:27114407..27115408,+,chr6:28092721..28093722,+,chr6:28890908..28891909,-	25
chr6:27834327..27835380,.	HS_chr6_27834827_27834880	23	ENSG00000158403,HIST1H1C,HIST1H1E,HIST1H2AB,HIST1H2AC,HIST1H2AE,HIST1H2AG,HIST1H2AH,HIST1H2BB,HIST1H2BC,HIST1H2BD,HIST1H2BG,HIST1H2BH,HIST1H2BI,HIST1H2BJ,HIST1H2BK,HIST1H2BK_ENST00000396891,HIST1H3A,HIST1H3C,HIST1H3F,HIST1H3G,HIST1H4A,HIST1H4G,TRIM27	TCGA-A2-A0EY	chr6:26020217..26021218,+,chr6:26021406..26022407,+,chr6:26033295..26034296,-,chr6:26043384..26044385,-,chr6:26045138..26046139,+,chr6:26056155..26057156,-,chr6:26123631..26124632,-,chr6:26123960..26124961,+,chr6:26156118..26157119,+,chr6:26157897..26158898,+,chr6:26216370..26217371,-,chr6:26216702..26217703,+,chr6:26246704..26247705,-,chr6:26250332..26251333,-,chr6:26251378..26252379,+,chr6:26271111..26272112,-,chr6:26272267..26273268,-,chr6:26272703..26273704,+,chr6:27100028..27101029,-,chr6:27100350..27101351,+,chr6:27114076..27115077,-,chr6:27114407..27115408,+,chr6:28890908..28891909,-	23
chr12:120729125..120730151,.	HS_chr12_120729625_120729651	20	CCDC64,COQ5,COX6A1,DYNLL1,GATC,GCN1L1,MLEC,MSI1,OGFOD2,OGFOD2_ENST00000228922,PLA2G1B,PXN,PXN_ENST00000228307,PXN_ENST00000397506,RAB35,RHOF,RNF10,RPLP0,SRSF9,SUDS3_ENST00000397564,SUDS3_ENST00000543473,TRIAP1	TCGA-A8-A07B,TCGA-BH-A18U	chr12:118813996..118814997,+,chr12:120427172..120428173,+,chr12:120553953..120554954,-,chr12:120631999..120633000,-,chr12:120638085..120639086,-,chr12:120653354..120654355,-,chr12:120702931..120703932,-,chr12:120765055..120766056,-,chr12:120806393..120807394,-,chr12:120875429..120876430,+,chr12:120883674..120884675,-,chr12:120883783..120884784,+,chr12:120906911..120907912,-,chr12:120933724..120934725,+,chr12:120966443..120967444,-,chr12:120972114..120973115,+,chr12:121124599..121125600,+,chr12:122231038..122232039,-,chr12:123459298..123460299,+,chr12:123460439..123461440,+	20
chr6:30584508..30585545,.	HS_chr6_30585008_30585045	20	ABCF1,BRD2,BRD2_ENST00000395289,C6orf136,C6orf136_ENST00000293604,DHX16,DHX16_ENST00000376442,FLOT1,FLOT1_ENST00000418160,GNL1,GNL1_ENST00000433809,HIST1H2AB,HIST1H3B,HLA-E,IER3,IER3_ENST00000376377,KIAA1949,MDC1,MDC1_ENST00000376406,NRM,NRM_ENST00000444096,PRR3,TUBB,VARS2	TCGA-A8-A075	chr6:26031787..26032788,-,chr6:26033295..26034296,-,chr6:30456808..30457809,+,chr6:30523063..30524064,-,chr6:30523479..30524480,-,chr6:30524621..30525622,+,chr6:30538764..30539765,+,chr6:30614508..30615509,+,chr6:30617191..30618192,+,chr6:30640117..30641118,-,chr6:30653294..30654295,-,chr6:30657999..30659000,-,chr6:30658250..30659251,-,chr6:30682451..30683452,-,chr6:30687783..30688784,+,chr6:30709465..30710466,-,chr6:30709611..30710612,-,chr6:30711794..30712795,-,chr6:30882113..30883114,+,chr6:32940175..32941176,+	20
